task_id,condition_id,plate_id,yield,n,experiment_id
hit_05,c_5e8279fbea,screen_SCRN_78,29.0,4,hit_000213
hit_05,c_7dc2ed3bef,screen_SCRN_78,18.0,4,hit_000214
hit_05,c_86f3e84f01,screen_SCRN_78,32.5,4,hit_000215
hit_05,c_87611e347b,screen_SCRN_78,34.5,4,hit_000216
hit_05,c_87d08dc489,screen_SCRN_78,14.5,4,hit_000217
hit_05,c_96da66f8fe,screen_SCRN_78,23.5,4,hit_000218
hit_05,c_99aeac08ec,screen_SCRN_78,19.25,4,hit_000219
hit_05,c_9e3adb389c,screen_SCRN_78,13.25,4,hit_000220
hit_05,c_a86e283b14,screen_SCRN_78,17.5,4,hit_000221
hit_05,c_a88c92ca46,screen_SCRN_78,23.0,4,hit_000222
hit_05,c_aabcb49fef,screen_SCRN_78,37.5,4,hit_000223
hit_05,c_ad8305297d,screen_SCRN_78,35.75,4,hit_000224
hit_05,c_adf3bba061,screen_SCRN_78,21.25,4,hit_000225
hit_05,c_b4e663cbcf,screen_SCRN_78,10.0,4,hit_000226
hit_05,c_b9c1c9f68d,screen_SCRN_78,18.75,4,hit_000227
hit_05,c_ba1fa7db09,screen_SCRN_78,16.25,4,hit_000228
hit_05,c_ba67a9e214,screen_SCRN_78,17.25,4,hit_000229
hit_05,c_c3b27856cb,screen_SCRN_78,19.75,4,hit_000230
hit_05,c_c4be4d3b3e,screen_SCRN_78,7.0,4,hit_000231
hit_05,c_e03a6b9172,screen_SCRN_78,46.0,4,hit_000232
hit_05,c_e34fd39dff,screen_SCRN_78,10.5,4,hit_000233
hit_05,c_e564d7612a,screen_SCRN_78,27.25,4,hit_000234
hit_05,c_e7bd21231d,screen_SCRN_78,7.5,4,hit_000235
hit_05,c_e8d46c9e9a,screen_SCRN_78,7.5,4,hit_000236
hit_05,c_efdcec6f77,screen_SCRN_78,33.75,4,hit_000237
hit_05,c_f7824c77b7,screen_SCRN_78,33.25,4,hit_000238
hit_05,c_fb0fd7c858,screen_SCRN_78,28.5,4,hit_000239
hit_06,c_0511e92d37,screen_SCRN_66,38.0,4,hit_000240
hit_06,c_14766a3f2b,screen_SCRN_66,39.0,4,hit_000241
hit_06,c_14f5c30068,screen_SCRN_66,12.25,4,hit_000242
hit_06,c_1d9e641278,screen_SCRN_66,3.25,4,hit_000243
hit_06,c_23c32c1777,screen_SCRN_66,0.0,4,hit_000244
hit_06,c_24a01a5b7d,screen_SCRN_66,23.5,4,hit_000245
hit_06,c_30116215bd,screen_SCRN_66,3.75,4,hit_000246
hit_06,c_3196604cd9,screen_SCRN_66,24.75,4,hit_000247
hit_06,c_32f061b282,screen_SCRN_66,14.5,4,hit_000248
hit_06,c_3c160df052,screen_SCRN_66,0.0,4,hit_000249
hit_06,c_3ee2d5105a,screen_SCRN_66,32.0,4,hit_000250
hit_06,c_3f90fc71ff,screen_SCRN_66,21.0,4,hit_000251
hit_06,c_40534c4f12,screen_SCRN_66,0.0,4,hit_000252
hit_06,c_4076342b87,screen_SCRN_66,0.0,4,hit_000253
hit_06,c_4648614000,screen_SCRN_66,3.25,4,hit_000254
hit_06,c_466dd475bc,screen_SCRN_66,16.75,4,hit_000255
hit_06,c_4957928872,screen_SCRN_66,3.0,4,hit_000256
hit_06,c_5570c5f42c,screen_SCRN_66,4.0,4,hit_000257
hit_06,c_577ff4ada9,screen_SCRN_66,25.25,4,hit_000258
hit_06,c_599a93c125,screen_SCRN_66,0.0,4,hit_000259
hit_06,c_5e8279fbea,screen_SCRN_66,24.75,4,hit_000260
hit_06,c_7dc2ed3bef,screen_SCRN_66,2.75,4,hit_000261
hit_06,c_87d08dc489,screen_SCRN_66,8.0,4,hit_000262
hit_06,c_8871d0b6cb,screen_SCRN_66,3.5,4,hit_000263
hit_06,c_9e3adb389c,screen_SCRN_66,0.0,4,hit_000264
hit_06,c_9ffedf54ae,screen_SCRN_66,9.75,4,hit_000265
hit_06,c_a0a0aa87c3,screen_SCRN_66,6.0,1,hit_000266
hit_06,c_a86e283b14,screen_SCRN_66,3.75,4,hit_000267
hit_06,c_a88c92ca46,screen_SCRN_66,3.0,4,hit_000268
hit_06,c_adf3bba061,screen_SCRN_66,18.25,4,hit_000269
hit_06,c_b4e663cbcf,screen_SCRN_66,31.0,4,hit_000270
hit_06,c_b6552437bf,screen_SCRN_66,5.25,4,hit_000271
hit_06,c_b9c1c9f68d,screen_SCRN_66,4.25,4,hit_000272
hit_06,c_ba67a9e214,screen_SCRN_66,0.0,4,hit_000273
hit_06,c_bb059feb70,screen_SCRN_66,6.0,4,hit_000274
hit_06,c_c139ee6e43,screen_SCRN_66,22.25,4,hit_000275
hit_06,c_c3b27856cb,screen_SCRN_66,1.25,4,hit_000276
hit_06,c_c4be4d3b3e,screen_SCRN_66,3.25,4,hit_000277
hit_06,c_c7181b1329,screen_SCRN_66,13.75,4,hit_000278
hit_06,c_d71bc0fdfd,screen_SCRN_66,1.25,4,hit_000279
hit_06,c_dc49028cb5,screen_SCRN_66,12.5,4,hit_000280
hit_06,c_dd752d0e98,screen_SCRN_66,6.75,4,hit_000281
hit_06,c_e2b4f2be96,screen_SCRN_66,26.5,4,hit_000282
hit_06,c_e34fd39dff,screen_SCRN_66,1.3333333333333333,3,hit_000283
hit_06,c_e564d7612a,screen_SCRN_66,3.25,4,hit_000284
hit_06,c_e7bd21231d,screen_SCRN_66,2.25,4,hit_000285
hit_06,c_e8d46c9e9a,screen_SCRN_66,1.0,4,hit_000286
hit_06,c_ef091d2ff2,screen_SCRN_66,1.25,4,hit_000287
hit_06,c_efdcec6f77,screen_SCRN_66,17.25,4,hit_000288
hit_07,c_0511e92d37,screen_SCRN_67,60.25,4,hit_000289
hit_07,c_14766a3f2b,screen_SCRN_67,57.5,4,hit_000290
hit_07,c_14f5c30068,screen_SCRN_67,50.25,4,hit_000291
hit_07,c_1d9e641278,screen_SCRN_67,44.5,4,hit_000292
hit_07,c_23c32c1777,screen_SCRN_67,64.0,4,hit_000293
hit_07,c_24a01a5b7d,screen_SCRN_67,25.0,4,hit_000294
hit_07,c_30116215bd,screen_SCRN_67,12.25,4,hit_000295
hit_07,c_3196604cd9,screen_SCRN_67,62.0,4,hit_000296
hit_07,c_32f061b282,screen_SCRN_67,61.75,4,hit_000297
hit_07,c_3c160df052,screen_SCRN_67,65.5,4,hit_000298
hit_07,c_3ee2d5105a,screen_SCRN_67,62.25,4,hit_000299
hit_07,c_3f514d9a96,screen_SCRN_67,49.25,4,hit_000300
hit_07,c_3f90fc71ff,screen_SCRN_67,25.0,4,hit_000301
hit_07,c_40534c4f12,screen_SCRN_67,38.75,4,hit_000302
hit_07,c_4076342b87,screen_SCRN_67,37.25,4,hit_000303
hit_07,c_4648614000,screen_SCRN_67,64.5,4,hit_000304
hit_07,c_466dd475bc,screen_SCRN_67,49.25,4,hit_000305
hit_07,c_493aa05fab,screen_SCRN_67,51.5,4,hit_000306
hit_07,c_5570c5f42c,screen_SCRN_67,42.5,4,hit_000307
hit_07,c_577ff4ada9,screen_SCRN_67,67.5,4,hit_000308
hit_07,c_599a93c125,screen_SCRN_67,43.25,4,hit_000309
hit_07,c_5e8279fbea,screen_SCRN_67,62.5,4,hit_000310
hit_07,c_7dc2ed3bef,screen_SCRN_67,26.25,4,hit_000311
hit_07,c_87d08dc489,screen_SCRN_67,8.5,4,hit_000312
hit_07,c_8871d0b6cb,screen_SCRN_67,45.5,4,hit_000313
hit_07,c_99aeac08ec,screen_SCRN_67,49.5,4,hit_000314
hit_07,c_9e3adb389c,screen_SCRN_67,65.5,4,hit_000315
hit_07,c_9ffedf54ae,screen_SCRN_67,59.75,4,hit_000316
hit_07,c_a86e283b14,screen_SCRN_67,61.75,4,hit_000317
hit_07,c_a88c92ca46,screen_SCRN_67,56.0,4,hit_000318
hit_07,c_adf3bba061,screen_SCRN_67,48.5,4,hit_000319
hit_07,c_b4e663cbcf,screen_SCRN_67,35.5,4,hit_000320
hit_07,c_b6552437bf,screen_SCRN_67,58.25,4,hit_000321
hit_07,c_b9c1c9f68d,screen_SCRN_67,54.0,4,hit_000322
hit_07,c_ba1fa7db09,screen_SCRN_67,25.25,4,hit_000323
hit_07,c_c139ee6e43,screen_SCRN_67,60.5,4,hit_000324
hit_07,c_c3b27856cb,screen_SCRN_67,65.75,4,hit_000325
hit_07,c_c4be4d3b3e,screen_SCRN_67,14.25,4,hit_000326
hit_07,c_c7181b1329,screen_SCRN_67,62.75,4,hit_000327
hit_07,c_d71bc0fdfd,screen_SCRN_67,58.25,4,hit_000328
hit_07,c_dc49028cb5,screen_SCRN_67,53.0,4,hit_000329
hit_07,c_dd752d0e98,screen_SCRN_67,28.25,4,hit_000330
